,Unnamed: 0,Index,Viscosity,Diffusivity,Amplitude,X_R,Z_R,Z_C,Error
0,0,0,70.02209629513749,67.31856703561357,19.127638314469447,6.320960432748642,1.860776182086049,2.896130900597971,0.2127726227045059
1,1,1,7.05063714777544,49.681817709691074,20.74375194784664,7.340797873493403,1.6985620091875862,3.3068400230304587,0.3364576399326324
2,2,2,4.294962038408758,56.07548716651608,24.485683554729384,2.7754785847989307,1.4126703189499592,3.0237650302123846,0.5592480301856995
3,3,3,52.6347591037929,48.74503262587553,13.2818510096649,5.792392084564955,1.7422816727578312,3.329307128385888,0.1542484313249588
4,4,4,47.795741692753374,6.885795905004943,5.620475056617722,6.055685661009267,1.2214077763541873,2.6811877673696687,0.7418833374977112
5,5,5,26.15781200036168,57.38425451056679,12.402211957565132,6.180834703748307,1.0356322112409846,2.518754577844604,0.2617834210395813
6,6,6,61.19795005647776,54.3503718872829,24.66113332332032,3.954073979859094,2.268485741732273,3.1749988484063385,0.3031683266162872
7,7,7,25.21817254847926,10.7740048391042,13.170587212386817,2.3654671407097947,2.062136414790695,2.94356453346816,0.4072551727294922
8,8,8,56.65899038099727,62.25425355699666,22.61934909190167,7.200233198651718,2.170421396914461,2.500915333413185,0.3991529047489166
9,9,9,23.71127082512939,41.71762387255724,17.89713643059816,2.145340953920746,1.8869844917863776,3.382486780326469,0.7035618424415588
10,10,10,8.296543969369608,60.799880823622445,10.915076881841904,6.327638652763301,1.47511105514416,3.178951221886121,0.3724245429039001
11,11,11,33.38662293348697,62.12840737017507,6.218600826385323,5.531490970615067,1.04022079209886,3.2097793848128564,0.5758224129676819
12,12,12,50.47075544555597,9.7741428156837,15.33105829081661,6.782994092861546,2.0200056762627,3.3809488582334524,0.2679145932197571
13,13,13,5.670766494480907,2.7909191352587093,8.634004602320193,4.348076092214809,1.7550125787556643,2.640556867465708,0.6658215522766113
14,14,14,26.12653227256932,38.10202426295549,13.146613518733988,3.9962892402401673,1.192782697555606,3.050312745123028,0.3439687490463257
15,15,15,65.2599848320301,46.22125047070126,15.775746853969396,4.598228922134326,1.6481900812730892,3.005583488826784,0.1203381121158599
16,16,16,38.41400612877333,72.2580376721534,7.022787607422054,4.200625826780646,2.042592136332093,3.352275081697998,0.7179248929023743
17,17,17,1.256520086892906,36.75514765585325,7.051613214071477,6.1762300605219,2.434775867042028,3.494659282774508,0.4993019104003906
18,18,18,60.00146866420173,64.4775941618744,12.549732695770526,4.918621215360252,1.3450137927751518,3.10762480753432,0.3216072618961334
19,19,19,20.84928620994013,35.471900942792935,19.282695931626165,6.082592698623455,1.5050818776088564,3.279202399928879,0.3298887908458709
20,20,20,19.2115698304814,52.3659120584884,14.5534132068196,6.662849223078101,1.3531265368398988,2.8439157398394483,0.2341978996992111
21,21,21,31.36093303127915,18.46428890546889,21.102466890040738,6.18845159263444,2.044121012885343,3.1644055484082223,0.3686500191688537
22,22,22,13.78860241877688,11.668161149207938,16.403311795407454,6.26243907136561,1.5986291654152325,3.141076413667587,0.3981536328792572
23,23,23,18.228762568745555,13.03419606679288,24.44238975723858,6.01444938528978,2.057345779459842,3.041259597549518,0.36802938580513
24,24,24,21.72755133185023,26.69906252364759,18.37388664679921,6.040899463853614,1.5704677761708006,2.761872867487198,0.2776452302932739
25,25,25,66.25042845399724,6.399551630437323,15.39425814085444,6.034464323354278,1.929100481306615,2.809509528444908,0.2471534460783004
26,26,26,58.3880507076096,1.089246169860418,8.223311790043246,7.903572697666272,1.721983647365755,2.927705752462635,0.5688720941543579
27,27,27,32.37766590859172,41.7373563191993,8.18776332180911,7.307833201250911,2.376688132658079,3.4017805027214187,0.3781147003173828
